epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.1992,2.0236,12.7999,1.16833,0.77955,0.72314,0.79745,0.53211,1.74272,9.85633,1.10103,0.000474968,0.000474968,0.000474968
2,84.6824,1.95031,11.1628,1.13035,0.76696,0.7506,0.8177,0.51647,1.8518,9.54347,1.11674,0.000951069,0.000951069,0.000951069
3,126.791,1.96586,11.0198,1.13851,0.77695,0.75485,0.8311,0.55719,1.7238,9.06319,1.10981,0.00142624,0.00142624,0.00142624
4,160.877,1.94447,10.6669,1.13529,0.80469,0.76635,0.84702,0.56013,1.727,8.85317,1.09342,0.00142586,0.00142586,0.00142586
5,193.046,1.92367,10.2278,1.12701,0.81532,0.79886,0.86932,0.57456,1.78412,8.67926,1.109,0.00142342,0.00142342,0.00142342
6,231.328,1.89948,9.95837,1.11955,0.80969,0.80238,0.87323,0.58906,1.699,8.73366,1.0782,0.00142029,0.00142029,0.00142029
7,271.705,1.89313,9.68391,1.11168,0.83975,0.79365,0.88079,0.58919,1.7086,7.93705,1.08363,0.00141647,0.00141647,0.00141647
8,318.346,1.85229,9.36998,1.09695,0.8237,0.80442,0.88035,0.60486,1.68506,8.13206,1.08344,0.00141196,0.00141196,0.00141196
9,362.099,1.84714,9.33224,1.10073,0.83129,0.81669,0.88958,0.60554,1.6875,8.00693,1.08052,0.00140678,0.00140678,0.00140678
10,403.006,1.81069,8.98837,1.08649,0.85075,0.80686,0.89569,0.60965,1.72524,8.05409,1.08915,0.00140091,0.00140091,0.00140091
11,443.658,1.80608,9.01209,1.08754,0.83629,0.82462,0.89314,0.60012,1.67764,7.70251,1.06846,0.00139438,0.00139438,0.00139438
12,485.086,1.78809,8.81824,1.07672,0.8396,0.8374,0.89961,0.60817,1.68463,7.61367,1.07174,0.00138718,0.00138718,0.00138718
13,527.405,1.77047,8.65717,1.07817,0.84524,0.81264,0.89229,0.59751,1.70194,7.75653,1.06857,0.00137933,0.00137933,0.00137933
14,568.935,1.76914,8.64266,1.06963,0.83999,0.83335,0.90029,0.62143,1.62133,7.36153,1.05269,0.00137082,0.00137082,0.00137082
15,610.423,1.75813,8.50814,1.07103,0.83943,0.8107,0.89357,0.61646,1.61869,7.4601,1.05899,0.00136168,0.00136168,0.00136168
16,656.765,1.74987,8.49061,1.06996,0.84227,0.83626,0.90344,0.63835,1.59791,7.1636,1.0438,0.0013519,0.0013519,0.0013519
