epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5746,1.45629,1.87782,1.11164,0.60546,0.6375,0.64718,0.40798,1.36372,1.43615,1.11263,0.000474968,0.000474968,0.000474968
2,47.5009,1.36726,1.39823,1.09264,0.66825,0.63978,0.68818,0.44012,1.36077,1.32825,1.10852,0.000888516,0.000888516,0.000888516
3,70.4358,1.35658,1.29113,1.09199,0.6912,0.65802,0.72118,0.46756,1.3231,1.17899,1.08329,0.00123919,0.00123919,0.00123919
4,93.7759,1.33199,1.2296,1.0862,0.6887,0.6651,0.72551,0.47757,1.31078,1.15423,1.08381,0.00114606,0.00114606,0.00114606
5,118.82,1.3217,1.18824,1.08154,0.71755,0.68637,0.75265,0.49307,1.32153,1.10592,1.0911,0.00105174,0.00105174,0.00105174
6,146.624,1.27803,1.13471,1.07498,0.71582,0.70419,0.7619,0.50121,1.29907,1.0842,1.08985,0.00095743,0.00095743,0.00095743
7,166.817,1.26098,1.09681,1.06634,0.7214,0.7078,0.7696,0.51108,1.29247,1.0639,1.08005,0.000863116,0.000863116,0.000863116
8,187.022,1.26319,1.07311,1.06573,0.72503,0.71906,0.77839,0.51825,1.26319,1.06745,1.07565,0.000768802,0.000768802,0.000768802
9,207.558,1.2423,1.04531,1.06018,0.73658,0.70375,0.77554,0.52094,1.26328,1.02925,1.07317,0.000674488,0.000674488,0.000674488
10,228.287,1.2288,1.02695,1.05613,0.73515,0.71567,0.7841,0.5257,1.27315,1.02582,1.07576,0.000580174,0.000580174,0.000580174
11,249.283,1.22674,1.01139,1.05384,0.73681,0.72108,0.7891,0.53014,1.26543,1.00908,1.07502,0.00048586,0.00048586,0.00048586
12,270.422,1.21956,0.99948,1.05413,0.74517,0.71967,0.78948,0.53125,1.25864,0.99838,1.07474,0.000391546,0.000391546,0.000391546
13,291.557,1.21295,0.99015,1.04644,0.74176,0.71389,0.78656,0.52877,1.25739,0.99395,1.0705,0.000297232,0.000297232,0.000297232
14,312.756,1.195,0.97688,1.04249,0.76251,0.71601,0.79862,0.53953,1.2421,0.98166,1.06438,0.000202918,0.000202918,0.000202918
15,334.194,1.19841,0.97064,1.04354,0.75572,0.71903,0.7973,0.53892,1.23789,0.9708,1.05946,0.000108604,0.000108604,0.000108604
